,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chengdu,0.7608404497011181,0.7619983577768586,0.7615689698829605,0.7606908182070938,0.7664942440643326,0.7506970560259747,0.7560054781474949,0.7607717824471016,0.7606199472828197
Zigong,0.3428248254299855,0.34455412407906116,0.3442743819099421,0.3476670866655894,0.35046966474711055,0.3456936198683741,0.33516819177740365,0.3314249756395196,0.3318655626655455
Panzhihua,0.16037115526468332,0.16000214961555365,0.15953319253146903,0.16149135729264028,0.16490584391545068,0.16208483777270952,0.14992192104843582,0.14920049274467276,0.14857295963335598
Luzhou,0.38298530772462636,0.3831245585258602,0.384419674625981,0.3852772494357917,0.37903377470615063,0.37633053958173274,0.3526610221748005,0.34774384034763267,0.35008570699999964
Deyang,0.34507096453358294,0.3453592077784189,0.345261306368837,0.3469254123174109,0.34770686574206217,0.3401636579562233,0.32424382700339005,0.3219654123706121,0.3239142022036636
Mianyang,0.39462020537775766,0.3903802758016519,0.3895599372304287,0.38874174774737985,0.3684450415963956,0.35776925388150504,0.367830151136462,0.36924420592191776,0.37126205125173284
Guangyuan,0.2503602331687443,0.247863200884879,0.24887303298907956,0.2513609081295831,0.25263234851802113,0.2509691632382825,0.24240249347194834,0.2402916511455207,0.23888356205120737
Suining,0.25297622550865956,0.25161914575304234,0.24928321765661154,0.25098099802830254,0.2495086601937729,0.24551229021140822,0.23933679898643817,0.24039335897676758,0.24113938332953483
Neijiang,0.4648596675916291,0.46237094794300293,0.4598133536927637,0.46124966988154503,0.46154933868895975,0.45739227336729915,0.4437152940977206,0.4407089020987983,0.44317742405883653
Leshan,0.3803152006980598,0.3803227799988969,0.3802076732427224,0.3813204479773134,0.381858967028453,0.37455631272267703,0.35311133453144505,0.3505535097079735,0.35374916258226247
Nanchong,0.38658683493145335,0.3863130845044957,0.38937887647293523,0.3908275500430374,0.38281311594925893,0.38182777353596414,0.37257245798174005,0.36853173574613973,0.37009158463622227
Meishan,0.3349194988726079,0.33370159768900254,0.3330633300984254,0.335278910254519,0.33585481200392625,0.3423158409764987,0.328584928179276,0.326766920542521,0.32856096272540514
Yibin,0.4454664824393903,0.4436759133747002,0.4439841566949567,0.44439143523804553,0.4280101491674796,0.41974917419802826,0.40591501584048884,0.414037252622941,0.41471481659993786
Guang'an,0.35847275435369413,0.3585642623980881,0.35699677397734875,0.3578477693268225,0.3552417453611107,0.3476506032858204,0.33163503312394305,0.32717382204060896,0.32781862418000235
Dazhou,0.30160261117840814,0.2998488868875616,0.30063905550540965,0.30220108191893424,0.30214553214193535,0.28882412256725665,0.2750760234524311,0.2726016118854356,0.2729643441903238
Ya'an,0.20983983456836303,0.20812909972638158,0.20743086002742994,0.20737925048488423,0.21064150881777227,0.20775250872244252,0.20244071192429577,0.20056206673420576,0.20101921621310914
Bazhong,0.33784775450552285,0.33620780248792326,0.3368664476336833,0.33645111725011134,0.3459398395842264,0.3366923100772412,0.3217460303260074,0.319702143726871,0.3209172585974343
Ziyang,0.37795262607890906,0.3769673048482955,0.3765455120948815,0.3756447680758978,0.3671607344776848,0.36142929096725585,0.34617939302672857,0.3497514495131529,0.35199778554991384
